MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones,FECHA
A,7004999,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,5,1986,Caño Travieso PND,Aznalcazar,Sevilla,1,1.0,A. Herrera,,,,,,,,,,anillamiento,05/15/1986
C,7004999,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,12,1988,Isla Mayor,Isla Mayor,Sevilla,7,0.0,M.Vazquez,,,,,,,,,,control,12/15/1988
A,7007559,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,6,1986,Las Nuevas PND,Doñana,Huelva,1,0.0,PND,,,,,,,,,,anillamiento,06/15/1986
C,7007559,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,12,2004,Trebujena,Trebujena,Cadiz,A,0.0,M.Vazquez,,,,,,,,6758.0,24.0,muerto,12/15/2004
A,7009257,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,26,9,1987,Aznalcazar,Aznalcazar,Sevilla,4,0.0,CDP,,,,,,,,,,anillamiento,09/26/1987
C,7009257,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,3,1990,El Rocio,Almonte,Huelva,8,0.0,M.Vazquez,,,,,,,,904.0,31.0,control,03/15/1990
A,7009274,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,29,9,1987,La Fao PND,Aznalcazar,Sevilla,2,0.0,CDP,,,,,,,,,,anillamiento,09/29/1987
C,7009274,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,30,12,1987,Coto regable,Puebla del Rio,Sevilla,2,0.0,Particular,,,,,,,,,,control,12/30/1987
A,7009986,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,3,8,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,4,2.0,P.Rodriguez,,,,,,,,,,anillamiento,08/03/1990
C,7009986,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,6,5,1991,Isla Mayor,Isla Mayor,Sevilla,4,2.0,M.Sosa,,,,,,,,,,muerto,05/06/1991
A,7014622,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,16,6,1987,Marismas de Hinojos PND,Hinojos,Huelva,1,2.0,P. Clarita,,,,,,,,,,anillamiento,06/16/1987
C,7014622,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,12,1988,Isla Mayor,Isla Mayor,Sevilla,5,0.0,M.Vazquez,,,,,,,,,,control,12/15/1988
A,7015063,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,8,7,1986,Doñana PND,Almonte,Huelva,1,2.0,P. Clarita,,,,,,,,,,anillamiento,07/08/1986
