"MODO","METAL","NOMBRE_COMUN","ESPECIE","FAMILIA","ORDEN","GRUPO","DIA","MES","AÑO","LOCALIDAD","PAIS","EDAD","SEXO","ANILLADOR","Grasa","Ala","peso","tarso","pico","cola","Hora","Dias","Kms","Observaciones","FECHA","LATITUD","LONGITUD"
"A","254842","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",21,6,1978,"Bosau, Schleswig, Holstein","Alemania","7",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/21/1978",54.1065938,10.430204
"C","254842","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",19,10,1997,"Palacio del Rey, Hinojos, Huelva","España","A",0,"Particular",NA,NA,NA,NA,NA,NA,NA,7060,2268,"muerto","10/19/1997",37.1595443,-6.3800397
"A","220615","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",12,6,1985,"Guelper, NE Postdam","Alemania","3",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/12/1985",52.3905689,13.0644729
"C","220615","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,11,1990,"Isla Mayor, Sevilla","España","A",0,"Particular",NA,NA,NA,NA,NA,NA,NA,1982,2246,"muerto","11/15/1990",37.1332508,-6.1658351
"A","9396","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",24,6,1988,"Utterslev Mose, Seeland, Mon Saltholm","Dinamarca","2",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/24/1988",55.7144671,12.4960464
"C","9396","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1988,"Isla Mayor, Sevilla","España","2",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,161,2495,"muerto","12/15/1988",37.1332508,-6.1658351
"A","9331","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",13,6,1989,"Utterslev Mose, Kobenhavn, Sjaelland","Dinamarca","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/13/1989",55.7174179,12.5067223
"C","9331","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,11,1990,"Cantaritas, Puebla del Rio, Sevilla","España","5",0,"Particular",NA,NA,NA,NA,NA,NA,NA,520,2481,"muerto","11/15/1990",37.2694065,-6.063133
"A","3900545","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",11,6,1993,"Utterslev Mose, Sjaelland","Dinamarca","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/11/1993",55.7144671,12.4960464
"C","3900545","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,11,2001,"Isla Mayor, Sevilla","España","A",0,"EBD",NA,NA,NA,NA,NA,NA,NA,3079,2496,"muerto","11/15/2001",37.1332508,-6.1658351
