MODO;METAL;ESPECIE;DIA ;MES ;AÑO;LUGAR;MUNICIPIO ;PROVINCIA;EDAD;SEXO;ANILLADOR;Grasa;Ala;peso;tarso;pico;cola;Hora;Dias;Kms;Observaciones
A;7004999;Anas platyrhynchos;15;5;1986;Caño Travieso PND;Aznalcazar;Sevilla;1;1;A. Herrera;;;;;;;;;;Anillamiento
C;7004999;Anas platyrhynchos;15;12;1988;Isla Mayor;Isla Mayor;Sevilla;7;0;M.Vazquez;;;;;;;;;;Cazada escopeta
A;7007559;Anas platyrhynchos;15;6;1986;Las Nuevas PND;Doñana;Huelva;1;0;PND;;;;;;;;;;Anillamiento
C;7007559;Anas platyrhynchos;15;12;2004;Trebujena;Trebujena;Cadiz;A;0;M.Vazquez;;;;;;;;6758;24;Cazada escopeta solo anilla
A;7009257;Anas platyrhynchos;26;9;1987;Aznalcazar;Aznalcazar;Sevilla;4;0;CDP;;;;;;;;;;Anillamiento
C;7009257;Anas platyrhynchos;15;3;1990;El Rocio;Almonte;Huelva;8;0;M.Vazquez;;;;;;;;904;31;Cazada escopeta
A;7009274;Anas platyrhynchos;29;9;1987;La Fao PND;Aznalcazar;Sevilla;2;0;CDP;;;;;;;;;;Anillamiento
C;7009274;Anas platyrhynchos;30;12;1987;Coto regable;Puebla del Rio;Sevilla;2;0;Particular;;;;;;;;;;Cazada escopeta
A;7009986;Anas platyrhynchos;3;8;1990;Cañada de los Pajaros;Puebla del Rio;Sevilla;4;2;P.Rodriguez;;;;;;;;;;Anillamiento
C;7009986;Anas platyrhynchos;6;5;1991;Isla Mayor;Isla Mayor;Sevilla;4;2;M.Sosa;;;;;;;;;;Atropellada
A;7014622;Anas platyrhynchos;16;6;1987;Marismas de Hinojos PND;Hinojos;Huelva;1;2;P. Clarita;;;;;;;;;;Anillamiento
C;7014622;Anas platyrhynchos;15;12;1988;Isla Mayor;Isla Mayor;Sevilla;5;0;M.Vazquez;;;;;;;;;;Cazada escopeta
A;7015063;Anas platyrhynchos;8;7;1986;Doñana PND;Almonte;Huelva;1;2;P. Clarita;;;;;;;;;;Anillamiento
