MODO,METAL,ESPECIE,DIA ,MES ,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones
A,254842,Anser anser,21,6,1978,"Bosau, Schleswig, Holstein",Alemania,7,0,Extranjero,,,,,,,,,,Anillamiento
C,254842,Anser anser,19,10,1997,"Palacio del Rey, Hinojos, Huelva",España,A,0,Particular,,,,,,,,7060,2268,Encontrado muerto
A,220615,Anser anser,12,6,1985,"Guelper, NE Postdam",Alemania,3,2,Extranjero,,,,,,,,,,Anillamiento
C,220615,Anser anser,15,11,1990,"Isla Mayor, Sevilla",España,A,0,Particular,,,,,,,,1982,2246,Cazado con escopeta
A,9396,Anser anser,24,6,1988,"Utterslev Mose, Seeland, Mon Saltholm",Dinamarca,2,0,Extranjero,,,,,,,,,,Anillamiento
C,9396,Anser anser,15,12,1988,"Isla Mayor, Sevilla",España,2,0,M. Vazquez,,,,,,,,161,2495,Cazado con escopeta
A,9331,Anser anser,13,6,1989,"Utterslev Mose, Kobenhavn, Sjaelland",Dinamarca,1,1,Extranjero,,,,,,,,,,Anillamiento
C,9331,Anser anser,15,11,1990,"Cantaritas, Puebla del Rio, Sevilla",España,5,0,Particular,,,,,,,,520,2481,Cazado con escopeta
A,3900545,Anser anser,11,6,1993,"Utterslev Mose, Sjaelland",Dinamarca,1,1,Extranjero,,,,,,,,,,Anillamiento
C,3900545,Anser anser,15,11,2001,"Isla Mayor, Sevilla",España,A,0,EBD,,,,,,,,3079,2496,Cazado con escopeta
A,3900909,Anser anser,31,8,1991,"Riso, Roskilde, Sjaelland",Dinamarca,1,0,Extranjero,,,,,,,,,,Anillamiento
C,3900909,Anser anser,14,11,1992,"Puebla del Rio, Sevilla",España,5,0,Particular,,,,,,,,441,2458,Cazado con escopeta
A,3901325,Anser anser,5,5,1996,"Utterslev Mose, Sjaelland",Dinamarca,5,2,Extranjero,,,,,,,,,,Anillamiento
C,3901325,Anser anser,15,11,2001,"Isla Mayor, Sevilla",España,A,0,M. Vazquez,,,,,,,,2020,2496,Cazado con escopeta
A,9001709,Anser anser,24,1,2001,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,5,2,CDP,,,,,,,,,,Anillamiento
C,9001709,Anser anser,5,9,1991,"Soholt, Maribo, Falster Lolland",Dinamarca,5,0,Extranjero,,,,,,,,221,2358,Cazado con escopeta
A,9004767,Anser anser,22,9,1991,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,2,CDP,,,,,,,,,,Anillamiento
C,9004767,Anser anser,19,11,1992,"Kampereiland, Kampem, Overijssel",Dinamarca,6,0,Extranjero,,,,,,,,424,1941,Cazado con escopeta
A,9025037,Anser anser,13,7,2003,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,2,CDP,,,,,,,,,,Anillamiento
C,9025037,Anser anser,2,8,2004,"Hickling Broad, Norfolk",Gran Bretaña,6,2,BTO,,,,,,,,562,1838,Anilla leida telescopio
A,BA19341,Anser anser,3,7,1994,"Slibraken, Vega, Nordland",Noruega,4,2,Extranjero,,,,,,,,,,Anillamiento
C,BA19341,Anser anser,21,10,2005,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,A,2,M. Vazquez,,,,,,,,4128,3375,Encontrado exhausta y liberado en buen estado
A,241629,Anser anser,17,7,1997,"Vallsjoen, Vega, Nordland",Noruega,1,1,Extranjero,,,,,,,,,,Anillamiento
C,241629,Anser anser,12,12,2000,"Sanlucar de Barrameda, Cadiz",España,9,0,M. Vazquez,,,,,,,,1244,3423,Cazado con escopeta
A,9226992,Anser anser,29,6,1986,"Sverigen, M Skame, Malmohus",Suecia,6,1,Extranjero,,,,,,,,,,Anillamiento
C,9226992,Anser anser,15,1,1988,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,566,2498,Cazado con escopeta
A,9233013,Anser anser,4,6,1989,"Borringesjon, Malmohus",Suecia,4,2,Extranjero,,,,,,,,,,Anillamiento
C,9233013,Anser anser,3,2,2000,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,3896,2494,Cazado con escopeta fecha carta
A,WA06240,Anser anser,2,6,1994,"Rez ST Milickie, Kompl. Stawno., Wroclaw",Polonia,4,1,Extranjero,,,,,,,,,,Anillamiento
C,WA06240,Anser anser,1,1,1995,"Puebla del Rio, Sevilla",España,6,0,M. Vazquez,,,,,,,,213,2487,Cazado con escopeta
A,208519,Anser anser,9,5,1974,"Guelper, See Neubranderburg",Alemania,2,0,Extranjero,,,,,,,,,,Anillamiento
C,208519,Anser anser,15,12,1987,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,2606,2231,Cazado con escopeta fecha carta
A,208740,Anser anser,3,9,1975,"Trent, Rostock",Alemania,3,2,Extranjero,,,,,,,,,,Anillamiento
C,208740,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,5212,2439,Cazado con escopeta fecha carta
A,212403,Anser anser,9,5,1977,"Guelper, SE Postdam",Alemania,1,0,Extranjero,,,,,,,,,,Anillamiento
C,212403,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,4596,2362,Cazado con escopeta fecha carta
A,215737,Anser anser,27,6,1981,"Guelper, Rathenow Postdam",Alemania,3,2,Extranjero,,,,,,,,,,Anillamiento
C,215737,Anser anser,15,12,1987,"Cantaritas, Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,2358,2237,Cazado con escopeta
A,220744,Anser anser,28,8,1985,"Guelper, Rathenow Postdam",Alemania,6,2,Extranjero,,,,,,,,,,Anillamiento
C,220744,Anser anser,15,11,1988,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,1176,2231,Cazado con escopeta
A,254997,Anser anser,21,6,1978,"Bosau, Schleswig, Holstein",Alemania,1,0,Extranjero,,,,,,,,,,Anillamiento
C,254997,Anser anser,10,11,1988,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,3789,2259,Cazado con escopeta
A,292494,Anser anser,11,6,1960,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,0,Extranjero,,,,,,,,,,Anillamiento
C,292494,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,10769,2510,Cazado con escopeta fecha carta
A,1801,Anser anser,23,6,1964,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,2,Extranjero,,,,,,,,,,Anillamiento
C,1801,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,9297,2510,Cazado con escopeta fecha carta
A,2412,Anser anser,18,6,1971,"Kags Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,,,,,,,,,,Anillamiento
C,2412,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,6747,2508,Cazado con escopeta fecha carta
A,2485,Anser anser,19,6,1972,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,,,,,,,,,,Anillamiento
C,2485,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,6381,2403,Cazado con escopeta fecha carta
A,4392,Anser anser,14,6,1978,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,,,,,,,,,,Anillamiento
C,4392,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,4196,2389,Cazado con escopeta fecha carta
A,4411,Anser anser,14,6,1978,"Utterslev Mose,  Seeland",Dinamarca,3,1,Extranjero,,,,,,,,,,Anillamiento
C,4411,Anser anser,15,12,1981,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,,,Cazado con escopeta fecha carta
A,7083,Anser anser,17,6,1981,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,,,,,,,,,,Anillamiento
C,7083,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,2510,3098,Cazado con escopeta fecha carta
A,7360,Anser anser,22,6,1984,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,6,2,Extranjero,,,,,,,,,,Anillamiento
