Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes ,Año,Hora C,Hora F,Ancho tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones
3062713,Miliaria calandra,2,0,0,92,41,24.4,21,12,1991,,,,78,12.4,Cantaritas,Puebla del Rio,Sevilla,Manuel Vazquez,
4098891,Falco naumanni,3,0,,,,,29,6,2004,,,,,,La Cartuja,Jerez de la Frontera,Cadiz,Otro,
4098892,Falco naumanni,3,0,,,,,30,6,2004,,,,,,La Cartuja,Jerez de la Frontera,Cadiz,Otro,
4098895,Falco naumanni,3,0,,,,,4,7,2004,,,,,,La Cartuja,Jerez de la Frontera,Cadiz,Otro,
5007300,Falco tinnunculus,4,2,,,,,30,11,1991,,,,,,Puebla del Rio,Puebla del Rio,Sevilla,Cazador,Cazada con escopeta
5080011,Falco tinnunculus,4,1,,255,230,,20,12,2005,,,,,,La Fao,Aznalcazar,Sevilla,JL del Valle,
2169202,Alcedo atthis,3,2,1,,,,2,8,1987,6,7,,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,
2219990,Alcedo atthis,3,2,2,76,38,,14,12,1988,18,19,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2219994,Alcedo atthis,3,2,4,76,39.5,,26,12,1988,18,19,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2220911,Alcedo atthis,3,0,,,,,1,7,1990,7,8,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2220911,Alcedo atthis,3,1,1,,,,15,7,1990,9,10,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2220911,Alcedo atthis,3,0,2,78.5,36,,1,11,1990,18,19,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
2220911,Alcedo atthis,3,1,2,,,,16,12,1990,16,17,,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,
229711,Riparia riparia,4,0,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229729,Riparia riparia,4,2,3,,,,31,3,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229743,Riparia riparia,4,0,2,,,,31,3,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229738,Riparia riparia,4,0,1,,,,31,3,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229788,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229823,Riparia riparia,4,2,0,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229838,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229843,Riparia riparia,4,0,2,,,,31,3,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229848,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229877,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229882,Riparia riparia,4,1,1,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229902,Riparia riparia,4,2,3,,,,31,3,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229902,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229912,Riparia riparia,4,1,0,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229937,Riparia riparia,4,2,1,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229949,Riparia riparia,4,2,1,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
