MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
A,7004999,Anas platyrhynchos,15,5,1986,Caño Travieso PND,Aznalcazar,Sevilla,1,1,A. Herrera,NA,NA,Anillamiento,1986-05-15,anillamiento
C,7004999,Anas platyrhynchos,15,12,1988,Isla Mayor,Isla Mayor,Sevilla,7,0,M.Vazquez,NA,NA,Cazada escopeta,1988-12-15,muerto
A,7007559,Anas platyrhynchos,15,6,1986,Las Nuevas PND,Doñana,Huelva,1,0,PND,NA,NA,Anillamiento,1986-06-15,anillamiento
C,7007559,Anas platyrhynchos,15,12,2004,Trebujena,Trebujena,Cadiz,A,0,M.Vazquez,6758,24,Cazada escopeta solo anilla,2004-12-15,muerto
A,7009257,Anas platyrhynchos,26,9,1987,Aznalcazar,Aznalcazar,Sevilla,4,0,CDP,NA,NA,Anillamiento,1987-09-26,anillamiento
C,7009257,Anas platyrhynchos,15,3,1990,El Rocio,Almonte,Huelva,8,0,M.Vazquez,904,31,Cazada escopeta,1990-03-15,muerto
A,7009274,Anas platyrhynchos,29,9,1987,La Fao PND,Aznalcazar,Sevilla,2,0,CDP,NA,NA,Anillamiento,1987-09-29,anillamiento
C,7009274,Anas platyrhynchos,30,12,1987,Coto regable,Puebla del Rio,Sevilla,2,0,Particular,NA,NA,Cazada escopeta,1987-12-30,muerto
A,7009986,Anas platyrhynchos,3,8,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,4,2,P.Rodriguez,NA,NA,Anillamiento,1990-08-03,anillamiento
C,7009986,Anas platyrhynchos,6,5,1991,Isla Mayor,Isla Mayor,Sevilla,4,2,M.Sosa,NA,NA,Atropellada,1991-05-06,muerto
A,7014622,Anas platyrhynchos,16,6,1987,Marismas de Hinojos PND,Hinojos,Huelva,1,2,P. Clarita,NA,NA,Anillamiento,1987-06-16,anillamiento
C,7014622,Anas platyrhynchos,15,12,1988,Isla Mayor,Isla Mayor,Sevilla,5,0,M.Vazquez,NA,NA,Cazada escopeta,1988-12-15,muerto
A,7015063,Anas platyrhynchos,8,7,1986,Doñana PND,Almonte,Huelva,1,2,P. Clarita,NA,NA,Anillamiento,1986-07-08,anillamiento
C,7015063,Anas platyrhynchos,15,2,1991,Marisma de Alventus,Trebujena,Cadiz,A,0,JA. Cabral,NA,NA,Encontrado muerto,1991-02-15,muerto
A,7016105,Anas platyrhynchos,8,6,1987,Lucio Grande PND,Aznalcazar,Sevilla,1,0,A. Herrera,NA,NA,Anillamiento,1987-06-08,anillamiento
C,7016105,Anas platyrhynchos,15,12,1987,Puebla del Rio,Puebla del Rio,Sevilla,3,0,M.Vazquez,NA,NA,Cazada escopeta,1987-12-15,muerto
A,7018917,Anas platyrhynchos,22,7,1987,El Puntal PND,Almonte,Huelva,4,1,PND,NA,NA,Anillamiento,1987-07-22,anillamiento
C,7018917,Anas platyrhynchos,10,12,1988,Puebla del Rio,Puebla del Rio,Sevilla,6,0,M.Vazquez,507,32,Cazada escopeta,1988-12-10,muerto
