MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LUGAR CONTROL 2,MUNICIPIO CONTROL 2,PROVINCIA CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,7004999,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,5,1986,Caño Travieso PND,Aznalcazar,Sevilla,1.0,1.0,A. Herrera,945,412.3208271094924,Anillamiento,1986-05-15,anillamiento,1988-12-15,Isla Mayor,Isla Mayor,Sevilla,-6.2495425,37.3047112,-3.74922,40.46366700000001,7,0,M.Vazquez,,,Cazada escopeta,muerto
A,7007559,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,6,1986,Las Nuevas PND,Doñana,Huelva,1.0,0.0,PND,6758,451.2627921041097,Anillamiento,1986-06-15,anillamiento,2004-12-15,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,6758.0,24.0,Cazada escopeta solo anilla,muerto
A,7009257,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,26,9,1987,Aznalcazar,Aznalcazar,Sevilla,4.0,0.0,CDP,901,412.3208271094924,Anillamiento,1987-09-26,anillamiento,1990-03-15,El Rocio,Almonte,Huelva,-6.2495425,37.3047112,-3.74922,40.46366700000001,8,0,M.Vazquez,904.0,31.0,Cazada escopeta,muerto
A,7009274,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,29,9,1987,La Fao PND,Aznalcazar,Sevilla,2.0,0.0,CDP,92,412.3208271094924,Anillamiento,1987-09-29,anillamiento,1987-12-30,Coto regable,Puebla del Rio,Sevilla,-6.2495425,37.3047112,-3.74922,40.46366700000001,2,0,Particular,,,Cazada escopeta,muerto
A,7009986,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,3,8,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,4.0,2.0,P.Rodriguez,276,407.4810089617044,Anillamiento,1990-08-03,anillamiento,1991-05-06,Isla Mayor,Isla Mayor,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,4,2,M.Sosa,,,Atropellada,muerto
A,7014622,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,16,6,1987,Marismas de Hinojos PND,Hinojos,Huelva,1.0,2.0,P. Clarita,548,433.6033444087464,Anillamiento,1987-06-16,anillamiento,1988-12-15,Isla Mayor,Isla Mayor,Sevilla,-6.386442799999999,37.1467738,-3.74922,40.46366700000001,5,0,M.Vazquez,,,Cazada escopeta,muerto
A,7015063,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,8,7,1986,Doñana PND,Almonte,Huelva,1.0,2.0,P. Clarita,1683,451.2627921041097,Anillamiento,1986-07-08,anillamiento,1991-02-15,Marisma de Alventus,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,JA. Cabral,,,Encontrado muerto,muerto
A,7016105,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,8,6,1987,Lucio Grande PND,Aznalcazar,Sevilla,1.0,0.0,A. Herrera,190,412.3208271094924,Anillamiento,1987-06-08,anillamiento,1987-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.2495425,37.3047112,-3.74922,40.46366700000001,3,0,M.Vazquez,,,Cazada escopeta,muerto
A,7018917,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,22,7,1987,El Puntal PND,Almonte,Huelva,4.0,1.0,PND,507,407.4810089617044,Anillamiento,1987-07-22,anillamiento,1988-12-10,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,6,0,M.Vazquez,507.0,32.0,Cazada escopeta,muerto
A,7021233,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,19,7,1987,Caño Travieso PND,Aznalcazar,Sevilla,1.0,0.0,EBD,6555,451.2627921041097,Anillamiento,1987-07-19,anillamiento,2005-06-29,Trebujena,Trebujena,Cadiz,-6.175237699999999,36.8704663,-3.74922,40.46366700000001,A,0,M.Vazquez,6555.0,24.0,Cazada escopeta solo anilla,muerto
