Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes,Año,Hora.C,Hora.F,Ancho.tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
3062713,Miliaria calandra,2,0,0,92,41,24.4,21,12,1991,NA,NA,NA,78,12.4,Cantaritas,Puebla del Rio,Sevilla,Manuel Vazquez,,1991-12-21,control
4098891,Falco naumanni,3,0,NA,NA,NA,NA,29,6,2004,NA,NA,NA,NA,NA,La Cartuja,Jerez de la Frontera,Cadiz,Otro,,2004-06-29,control
4098892,Falco naumanni,3,0,NA,NA,NA,NA,30,6,2004,NA,NA,NA,NA,NA,La Cartuja,Jerez de la Frontera,Cadiz,Otro,,2004-06-30,control
4098895,Falco naumanni,3,0,NA,NA,NA,NA,4,7,2004,NA,NA,NA,NA,NA,La Cartuja,Jerez de la Frontera,Cadiz,Otro,,2004-07-04,control
5007300,Falco tinnunculus,4,2,NA,NA,NA,NA,30,11,1991,NA,NA,NA,NA,NA,Puebla del Rio,Puebla del Rio,Sevilla,Cazador,Cazada con escopeta,1991-11-30,muerto
5080011,Falco tinnunculus,4,1,NA,255,230,NA,20,12,2005,NA,NA,NA,NA,NA,La Fao,Aznalcazar,Sevilla,JL del Valle,,2005-12-20,control
2169202,Alcedo atthis,3,2,1,NA,NA,NA,2,8,1987,6,7,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-08-02,control
2219990,Alcedo atthis,3,2,2,76,38,NA,14,12,1988,18,19,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-14,control
2219994,Alcedo atthis,3,2,4,76,39.5,NA,26,12,1988,18,19,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-26,control
2220911,Alcedo atthis,3,0,NA,NA,NA,NA,1,7,1990,7,8,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-01,control
2220911,Alcedo atthis,3,1,1,NA,NA,NA,15,7,1990,9,10,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-15,control
2220911,Alcedo atthis,3,0,2,78.5,36,NA,1,11,1990,18,19,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-11-01,control
2220911,Alcedo atthis,3,1,2,NA,NA,NA,16,12,1990,16,17,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-12-16,control
