Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
3062713,Corn Bunting,Emberiza calandra,Emberizidae (Old World Buntings),Passeriformes,Old World Buntings,2,0,0.0,92.0,41.0,21,12,1991,,,Cantaritas,Puebla del Rio,Sevilla,Manuel Vazquez,,1991-12-21,control
4098891,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,3,0,,,,29,6,2004,,,La Cartuja,Jerez de la Frontera,Cadiz,Otro,,2004-06-29,control
4098892,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,3,0,,,,30,6,2004,,,La Cartuja,Jerez de la Frontera,Cadiz,Otro,,2004-06-30,control
4098895,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,3,0,,,,4,7,2004,,,La Cartuja,Jerez de la Frontera,Cadiz,Otro,,2004-07-04,control
5007300,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,4,2,,,,30,11,1991,,,Puebla del Rio,Puebla del Rio,Sevilla,Cazador,Cazada con escopeta,1991-11-30,muerto
5080011,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,4,1,,255.0,230.0,20,12,2005,,,La Fao,Aznalcazar,Sevilla,JL del Valle,,2005-12-20,control
2169202,Common Kingfisher,Alcedo atthis,Alcedinidae (Kingfishers),Coraciiformes,Kingfishers,3,2,1.0,,,2,8,1987,6.0,7.0,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-08-02,control
2219990,Common Kingfisher,Alcedo atthis,Alcedinidae (Kingfishers),Coraciiformes,Kingfishers,3,2,2.0,76.0,38.0,14,12,1988,18.0,19.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-14,control
2219994,Common Kingfisher,Alcedo atthis,Alcedinidae (Kingfishers),Coraciiformes,Kingfishers,3,2,4.0,76.0,39.5,26,12,1988,18.0,19.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-26,control
2220911,Common Kingfisher,Alcedo atthis,Alcedinidae (Kingfishers),Coraciiformes,Kingfishers,3,0,,,,1,7,1990,7.0,8.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-01,control
2220911,Common Kingfisher,Alcedo atthis,Alcedinidae (Kingfishers),Coraciiformes,Kingfishers,3,1,1.0,,,15,7,1990,9.0,10.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-15,control
2220911,Common Kingfisher,Alcedo atthis,Alcedinidae (Kingfishers),Coraciiformes,Kingfishers,3,0,2.0,78.5,36.0,1,11,1990,18.0,19.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-11-01,control
2220911,Common Kingfisher,Alcedo atthis,Alcedinidae (Kingfishers),Coraciiformes,Kingfishers,3,1,2.0,,,16,12,1990,16.0,17.0,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-12-16,control
229711,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229729,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,3.0,,,31,3,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-31,control
229743,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,2.0,,,31,3,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-31,control
229738,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,1.0,,,31,3,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-31,control
229788,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229823,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,0.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229838,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229843,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,2.0,,,31,3,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-31,control
229848,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229877,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
229882,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,1.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
